Step     48 | lr=9.890e-05 | loss=71313.4 | e_loss=704517 | f_loss=5.57582 | f_rmse=2.3613 | pref_e=0.1004 pref_f=99.96 | diff=0.000e+00
Step     49 | lr=9.888e-05 | loss=71297.1 | e_loss=709174 | f_loss=0.668936 | f_rmse=0.8179 | pref_e=0.1004 pref_f=99.96 | diff=0.000e+00
Step     50 | lr=9.886e-05 | loss=71125.2 | e_loss=707633 | f_loss=0.434625 | f_rmse=0.6593 | pref_e=0.1005 pref_f=99.96 | diff=0.000e+00
Step     51 | lr=9.883e-05 | loss=71915.9 | e_loss=715238 | f_loss=0.638349 | f_rmse=0.7990 | pref_e=0.1005 pref_f=99.96 | diff=0.000e+00
Step     52 | lr=9.881e-05 | loss=72178.4 | e_loss=717377 | f_loss=1.05028 | f_rmse=1.0248 | pref_e=0.1005 pref_f=99.96 | diff=0.000e+00
Step     53 | lr=9.879e-05 | loss=69072.8 | e_loss=686828 | f_loss=0.624665 | f_rmse=0.7904 | pref_e=0.1005 pref_f=99.96 | diff=0.000e+00
Step     54 | lr=9.876e-05 | loss=68761 | e_loss=683618 | f_loss=0.66942 | f_rmse=0.8182 | pref_e=0.1005 pref_f=99.96 | diff=0.000e+00
Step     55 | lr=9.874e-05 | loss=69511.9 | e_loss=691146 | f_loss=0.552097 | f_rmse=0.7430 | pref_e=0.1005 pref_f=99.96 | diff=0.000e+00
Step     56 | lr=9.872e-05 | loss=69151.7 | e_loss=686711 | f_loss=1.34603 | f_rmse=1.1602 | pref_e=0.1005 pref_f=99.96 | diff=0.000e+00
Step     57 | lr=9.870e-05 | loss=66334.5 | e_loss=658993 | f_loss=0.972349 | f_rmse=0.9861 | pref_e=0.1005 pref_f=99.95 | diff=0.000e+00
Step     58 | lr=9.867e-05 | loss=65182.9 | e_loss=643291 | f_loss=5.18281 | f_rmse=2.2766 | pref_e=0.1005 pref_f=99.95 | diff=0.000e+00
Step     59 | lr=9.865e-05 | loss=66007 | e_loss=656059 | f_loss=0.528017 | f_rmse=0.7266 | pref_e=0.1005 pref_f=99.95 | diff=0.000e+00
Step     60 | lr=9.863e-05 | loss=67421.4 | e_loss=670054 | f_loss=0.541376 | f_rmse=0.7358 | pref_e=0.1005 pref_f=99.95 | diff=0.000e+00
Step     61 | lr=9.861e-05 | loss=63681.8 | e_loss=631871 | f_loss=1.47861 | f_rmse=1.2160 | pref_e=0.1005 pref_f=99.95 | diff=0.000e+00
Step     62 | lr=9.858e-05 | loss=63271.4 | e_loss=627362 | f_loss=1.85223 | f_rmse=1.3610 | pref_e=0.1006 pref_f=99.95 | diff=0.000e+00
Step     63 | lr=9.856e-05 | loss=65278.1 | e_loss=648236 | f_loss=0.870962 | f_rmse=0.9333 | pref_e=0.1006 pref_f=99.95 | diff=0.000e+00
Step     64 | lr=9.854e-05 | loss=64108 | e_loss=634810 | f_loss=2.61465 | f_rmse=1.6170 | pref_e=0.1006 pref_f=99.95 | diff=0.000e+00
